question_id,difficulty,db_id,gpt-4o-mini,gemini-2.5-flash,deepseek-v3.2,n_correct,correct_models,chosen_model,ensemble_ex
1471,simple,debit_card_specializing,1,1,1,3,"gpt-4o-mini|gemini-2.5-flash|deepseek-v3.2",gemini-2.5-flash,1
1472,moderate,debit_card_specializing,0,0,0,0,"",gemini-2.5-flash,0
1473,moderate,debit_card_specializing,0,0,0,0,"",gemini-2.5-flash,0
1476,challenging,debit_card_specializing,0,0,0,0,"",gpt-4o-mini,0
1479,moderate,debit_card_specializing,0,0,0,0,"",gemini-2.5-flash,0
1480,moderate,debit_card_specializing,0,1,0,1,"gemini-2.5-flash",gemini-2.5-flash,1
1481,challenging,debit_card_specializing,0,0,0,0,"",gemini-2.5-flash,0
1482,challenging,debit_card_specializing,0,0,0,0,"",gpt-4o-mini,0
1483,simple,debit_card_specializing,1,1,1,3,"gpt-4o-mini|gemini-2.5-flash|deepseek-v3.2",gemini-2.5-flash,1
1484,simple,debit_card_specializing,0,1,1,2,"gemini-2.5-flash|deepseek-v3.2",gemini-2.5-flash,1
1486,simple,debit_card_specializing,1,1,1,3,"gpt-4o-mini|gemini-2.5-flash|deepseek-v3.2",gpt-4o-mini,1
1490,moderate,debit_card_specializing,0,0,0,0,"",gpt-4o-mini,0
1493,simple,debit_card_specializing,1,1,0,2,"gpt-4o-mini|gemini-2.5-flash",gemini-2.5-flash,1
1498,simple,debit_card_specializing,0,0,0,0,"",gemini-2.5-flash,0
1500,simple,debit_card_specializing,1,0,0,1,"gpt-4o-mini",gpt-4o-mini,1
1501,moderate,debit_card_specializing,1,0,1,2,"gpt-4o-mini|deepseek-v3.2",gpt-4o-mini,1
1505,simple,debit_card_specializing,0,0,0,0,"",gemini-2.5-flash,0
1506,moderate,debit_card_specializing,1,1,1,3,"gpt-4o-mini|gemini-2.5-flash|deepseek-v3.2",gemini-2.5-flash,1
1507,simple,debit_card_specializing,1,1,1,3,"gpt-4o-mini|gemini-2.5-flash|deepseek-v3.2",gemini-2.5-flash,1
1509,moderate,debit_card_specializing,1,1,1,3,"gpt-4o-mini|gemini-2.5-flash|deepseek-v3.2",gpt-4o-mini,1
1514,simple,debit_card_specializing,1,1,1,3,"gpt-4o-mini|gemini-2.5-flash|deepseek-v3.2",gpt-4o-mini,1
1515,simple,debit_card_specializing,1,1,1,3,"gpt-4o-mini|gemini-2.5-flash|deepseek-v3.2",gemini-2.5-flash,1
1521,moderate,debit_card_specializing,1,1,1,3,"gpt-4o-mini|gemini-2.5-flash|deepseek-v3.2",gemini-2.5-flash,1
1524,simple,debit_card_specializing,0,1,0,1,"gemini-2.5-flash",gemini-2.5-flash,1
1525,simple,debit_card_specializing,0,0,0,0,"",gemini-2.5-flash,0
1526,challenging,debit_card_specializing,0,0,0,0,"",gpt-4o-mini,0
1528,simple,debit_card_specializing,0,1,0,1,"gemini-2.5-flash",gemini-2.5-flash,1
1529,moderate,debit_card_specializing,0,0,0,0,"",gpt-4o-mini,0
1531,moderate,debit_card_specializing,0,0,0,0,"",gpt-4o-mini,0
1533,moderate,debit_card_specializing,0,1,0,1,"gemini-2.5-flash",gemini-2.5-flash,1
1312,simple,student_club,1,1,1,3,"gpt-4o-mini|gemini-2.5-flash|deepseek-v3.2",gemini-2.5-flash,1
1317,moderate,student_club,1,1,1,3,"gpt-4o-mini|gemini-2.5-flash|deepseek-v3.2",gemini-2.5-flash,1
1322,moderate,student_club,0,0,0,0,"",gemini-2.5-flash,0
1323,moderate,student_club,1,1,1,3,"gpt-4o-mini|gemini-2.5-flash|deepseek-v3.2",gemini-2.5-flash,1
1331,simple,student_club,1,1,1,3,"gpt-4o-mini|gemini-2.5-flash|deepseek-v3.2",gpt-4o-mini,1
1334,simple,student_club,0,1,0,1,"gemini-2.5-flash",gemini-2.5-flash,1
1338,moderate,student_club,0,0,0,0,"",gemini-2.5-flash,0
1339,challenging,student_club,1,0,0,1,"gpt-4o-mini",gpt-4o-mini,1
1340,moderate,student_club,1,1,1,3,"gpt-4o-mini|gemini-2.5-flash|deepseek-v3.2",gemini-2.5-flash,1
1344,simple,student_club,1,1,1,3,"gpt-4o-mini|gemini-2.5-flash|deepseek-v3.2",gemini-2.5-flash,1
